prod_id,set_name,prod_desc,theme_name,piece_count,min_age,max_age,difficulty_level,num_reviews,star_rating,list_price
60123,Volcano Supply Helicopter,Fly in the exploration gear and fly out the crystals!,City,330,7.0,12.0,1,3.0,4.3,49.99
71246,Adventure Time™ Team Pack,Explore the Land of Ooo with Jake and Lumpy Space Princess!,DIMENSIONS™,96,7.0,14.0,1,3.0,4.7,30.362
10616,My First Playhouse,Learn about daily routines with this easy-to-build set!,DUPLO®,25,1.5,5.0,1,3.0,5.0,19.99
31079,Sunshine Surfer Van,Enjoy seaside fun with the 3-in-1 Sunshine Surfer Van set!,Creator 3-in-1,379,8.0,12.0,1,5.0,4.4,34.99
42057,Ultralight Helicopter,Take to the skies with the Ultralight Helicopter!,Technic,199,8.0,14.0,1,9.0,4.7,19.99
42078,Mack Anthem,Discover innovative design with the Mack Anthem truck and trailer!,Technic,2595,11.0,16.0,2,22.0,4.7,179.99
70905,The Batmobile,Pursue Man-Bat™ and the Kabuki Twins™ in the Batmobile with three driving modes!,THE LEGO® BATMAN MOVIE,581,8.0,14.0,2,20.0,4.8,59.99
10879,Gentle Giants Petting Zoo,See the baby dinosaurs at the Jurassic World Gentle Giants Petting Zoo!,DUPLO®,24,2.0,5.0,2,1.0,5.0,19.99
853638,THE LEGO® BATMAN MOVIE Batman™ Minifigure Collector Frame,Display THE LEGO® BATMAN MOVIE minifigures!,THE LEGO® BATMAN MOVIE,61,7.0,99.0,0,19.0,2.9,16.99
21030,United States Capitol Building,Explore the architecture of the United States Capitol Building!,Architecture,1032,12.0,99.0,2,23.0,4.6,99.99
75189,First Order Heavy Assault Walker™,Stride into battle with the First Order Heavy Assault Walker!,Star Wars™,1376,9.0,14.0,3,33.0,4.4,149.99
70636,Zane - Spinjitzu Master,Create the coolest Spinjitzu tricks with the Ice Ninja!,NINJAGO®,69,6.0,14.0,2,,,9.99
76055,Batman™: Killer Croc™ Sewer Smash,Bite back against Killer Croc™ with the Bat-Tank!,DC Comics™ Super Heroes,759,8.0,14.0,2,11.0,4.3,79.99
75533,Boba Fett™,Join the hunt with Boba Fett!,Star Wars™,144,8.0,14.0,2,4.0,4.8,29.99
70349,Ruina's Lock & Roller,Rescue the queen from Ruina’s Lock & Roller!,NEXO KNIGHTS™,208,8.0,14.0,2,2.0,4.5,19.99
75530,Chewbacca™,Lead the charge with Chewbacca!,Star Wars™,179,8.0,14.0,2,5.0,3.6,34.99
75159,Death Star™,Win the battle for the Empire with the awesome Death Star!,Star Wars™,4016,14.0,99.0,3,84.0,3.9,499.99
10822,Sofia the First Magical Carriage,Join Sofia the First and ride along in her magical carriage!,DUPLO®,30,2.0,5.0,0,2.0,5.0,29.99
75536,Range Trooper™,Stomp into action with the Range Trooper!,Star Wars™,101,7.0,14.0,1,2.0,5.0,24.99
71346,The Powerpuff Girls™ Team Pack,"Sugar, spice and everything nice! Bring Townsville to life in the LEGO® DIMENSIONS™ multiverse with Blossom™ and Bubbles™!",DIMENSIONS™,93,7.0,14.0,2,,,24.99
75928,Blue's Helicopter Pursuit,Rescue Blue the Velociraptor from Wheatley and the pilot!,Blue's Helicopter Pursuit,397,7.0,12.0,2,,,39.99
75125,Resistance X-Wing Fighter™,Blast off on miniature X-Wing Fighter adventures!,Star Wars™,87,6.0,12.0,1,9.0,4.3,9.99
75161,TIE Striker™ Microfighter,Engage the Rebels with the tough TIE Striker Microfighter!,Star Wars™,88,6.0,12.0,1,4.0,4.5,9.99
42054,CLAAS XERION 5000 TRAC VC,Harness the awesome power of the CLAAS XERION 5000 TRAC VC,Technic,1977,11.0,16.0,3,18.0,4.8,179.99
41312,Heartlake Sports Center,Stay fit and healthy at the Heartlake Sports Center!,Friends,328,6.0,12.0,2,3.0,4.7,39.99
75883,MERCEDES AMG PETRONAS Formula One™ Team,Play every role of a top motor racing team on race day!,Speed Champions,941,8.0,14.0,2,8.0,4.6,99.99
41234,Bumblebee™ Helicopter,Keep the crystals from the evil Kryptomites!,DC Super Hero Girls,142,7.0,12.0,2,2.0,4.0,14.99
41328,Stephanie's Bedroom,Stephanie is always on the go… even at home in her bedroom!,Friends,95,6.0,12.0,1,2.0,5.0,9.99
45501,EV3 Rechargeable DC Battery,,MINDSTORMS®,1,10.0,21.0,0,6.0,4.3,88.99
76096,Superman™ & Krypto™ Team-Up,Help Superman™ bust out of the Kryptonite prison!,DC Comics™ Super Heroes,199,6.0,12.0,2,1.0,5.0,19.99
75117,Kylo Ren™,Go on the hunt for Resistance forces with the fierce Kylo Ren™!,Star Wars™,86,8.0,14.0,1,12.0,4.5,24.99
41155,Elsa's Market Adventure,Visit Arendelle Market with Elsa and Olaf!,Disney™,125,5.0,12.0,2,,,19.99
45514,EV3 Cable Pack,,MINDSTORMS®,7,10.0,21.0,2,,,16.99
41192,Azari & the Fire Lion Capture,Free the Guardian Fire Lion from the evil shadow bats’ chain!,Elves,360,8.0,12.0,2,2.0,4.0,29.99
10756,Pteranodon Escape,Escape Jurassic Island before the Pteranadon attacks!,Juniors,84,4.0,7.0,2,,,19.99
70592,Salvage M.E.C.,Match the Salvage M.E.C. vs. the Skulkin mech in a bounty-hunting duel!,NINJAGO®,439,8.0,14.0,2,6.0,4.8,39.99
41303,Puppy Playground,Train for the big dog show with Sky the puppy!,Friends,62,5.0,12.0,2,1.0,5.0,4.99
41194,Noctura's Tower & the Earth Fox Rescue,Rescue the captured Guardian Earth Fox from Noctura’s tower!,Elves,646,9.0,12.0,2,2.0,4.5,59.99
75191,Jedi Starfighter™ With Hyperdrive,Play at warp speed with Obi-Wan’s Jedi Starfighter With Hyperdrive!,Star Wars™,825,9.0,14.0,2,15.0,4.7,99.99
76079,Ravager Attack,Team up with Mantis and Rocket and fight back against Taserface!,Marvel Super Heroes,197,6.0,12.0,1,9.0,4.4,19.99
72004,Tech Wizard Showdown,Suit up for a Tech Wizard Showdown with Clay’s 3-in-1 mech!,NEXO KNIGHTS™,506,8.0,14.0,2,3.0,5.0,39.99
70357,Knighton Castle,Stand your ground and save the realm with the 2-in-1 Knighton Castle!,NEXO KNIGHTS™,1426,9.0,14.0,3,5.0,2.6,129.99
75211,Imperial TIE Fighter™,Evade the mighty Imperial TIE Fighter!,Star Wars™,519,9.0,14.0,2,7.0,4.7,69.99
45509,EV3 Infrared Sensor,,MINDSTORMS®,1,10.0,21.0,2,,,31.99
41124,Heartlake Puppy Daycare,Look after Heartlake's coolest canines!,Friends,286,6.0,12.0,2,5.0,5.0,29.99
10743,Smokey's Garage,Fix Disney•Pixar’s Lightning McQueen for his next exciting race!,Juniors,116,4.0,7.0,1,2.0,4.5,19.99
41151,Mulan's Training Day,"Get in training with Disney Mulan, ready for the challenge ahead!",Disney™,104,5.0,12.0,2,1.0,5.0,14.99
31066,Space Shuttle Explorer,Launch a satellite with the 3-in-1 Space Shuttle Explorer!,Creator 3-in-1,285,7.0,12.0,1,12.0,4.2,29.99
41186,Azari & the Goblin Forest Escape,Escape the carnivorous plants with Azari and Firebolt!,Elves,145,7.0,12.0,2,2.0,5.0,19.99
75821,Piggy Car Escape,Chase the piggy with lightning-fast Chuck and rescue the eggs!,Angry Birds™,74,6.0,12.0,1,11.0,4.3,12.99
76102,Thor's Weapon Quest,Find Thor’s ultimate weapon!,Marvel Super Heroes,223,6.0,12.0,1,10.0,4.4,19.99
21036,Arc de Triomphe,Experience the grandeur of the Arc de Triomphe!,Architecture,386,12.0,99.0,2,14.0,4.4,39.99
76071,Mighty Micros: Spider-Man vs. Scorpion,Begin a battle of the bugs with Spider-Man and Scorpion!,Marvel Super Heroes,79,5.0,12.0,0,1.0,4.0,9.99
60117,Van & Caravan,Pack up the gear; it’s time to go camping!,City,250,5.0,12.0,1,35.0,4.6,19.99
41316,Andrea's Speedboat Transporter,Cruise in style to the hottest beach party in town!,Friends,309,6.0,12.0,1,1.0,5.0,29.99
41333,Olivia's Mission Vehicle,Drive to the rescue in Heartlake City with Olivia and Zobo.,Friends,223,6.0,12.0,2,1.0,5.0,19.99
70922,The Joker™ Manor,Dare to enter The Joker™ Manor!,THE LEGO® BATMAN MOVIE,3444,14.0,99.0,3,19.0,5.0,269.99
42072,WHACK!,Get ready for high-speed action and impacts with the WHACK!,Technic,135,7.0,14.0,2,1.0,5.0,19.99
10857,Piston Cup Race,Race Lightning McQueen and Jackson Storm for the Piston Cup!,DUPLO®,31,2.0,5.0,1,1.0,5.0,29.99
76086,Knightcrawler Tunnel Attack,Fight for the Mother Box with Batman’s Knightcrawler!,DC Comics™ Super Heroes,622,7.0,14.0,2,6.0,5.0,49.99
10843,Mickey Racer,Help Disney’s Mickey Mouse get his roadster ready for the next race!,DUPLO®,15,2.0,5.0,2,,,14.99
75109,Obi-Wan Kenobi™,Use the Force to battle the Separatists with posable Obi-Wan Kenobi™!,Star Wars™,83,7.0,12.0,1,5.0,4.4,24.99
42062,Container Yard,"Grab, lift, load and deliver at the Container Yard!",Technic,631,8.0,14.0,1,8.0,4.8,59.99
10692,LEGO® Creative Bricks,Get creative with classic LEGO® bricks in 29 different colors!,Classic,221,4.0,99.0,1,7.0,4.1,16.99
75828,Ecto-1 & 2,Speed after Mayhem with the LEGO® Ghostbusters™ Ecto-1 & 2 vehicles!,Ghostbusters™,556,8.0,14.0,2,24.0,4.8,59.99
75827,Firehouse Headquarters,Get ready to bust some ghosts at the Firehouse Headquarters!,Ghostbusters™,4634,16.0,99.0,3,130.0,4.8,349.99
41318,Heartlake Hospital,Look after the sick and injured people of Heartlake City!,Friends,871,7.0,12.0,2,4.0,4.8,99.99
10809,Police Patrol,Stop the crook and lock him in the police van!,DUPLO®,15,2.0,5.0,1,1.0,4.0,14.99
10260,Downtown Diner,Discover a place where music is on the menu!,Creator Expert,2480,16.0,99.0,3,62.0,4.6,169.99
42071,Dozer Compactor,Call in the powerful Dozer Compactor!,Technic,171,8.0,14.0,3,2.0,5.0,19.99
70372,Combo NEXO Powers Wave 1,Collect and combine the NEXO Powers to defeat Monstrox!,NEXO KNIGHTS™,10,7.0,14.0,0,8.0,3.4,3.99
41335,Mia's Tree House,Climb up to the tree house and help Mia settle in!,Friends,351,6.0,12.0,3,2.0,5.0,29.99
10742,Willy's Butte Speed Training,Smash the speed record with Disney•Pixar’s Lightning McQueen and Sheriff!,Juniors,95,4.0,7.0,1,2.0,3.0,19.99
41340,Friendship House,Plot mission after mission together at the Friendship House!,Friends,722,6.0,12.0,2,7.0,4.1,69.99
10869,Farm Adventures,Enjoy a visit to the adventure farm and feed the animals!,DUPLO®,104,2.0,5.0,2,,,59.99
75537,Darth Maul™,Own a true Sith Lord with Darth Maul!,Star Wars™,104,8.0,14.0,2,,,29.99
75878,Bugatti Chiron,Build and drive the ultimate hyper car!,Speed Champions,181,7.0,14.0,1,19.0,4.9,14.99
31076,Daredevil Stunt Plane,Thrill the crowds with the 3-in-1 Daredevil Stunt Plane set!,Creator 3-in-1,200,7.0,12.0,2,1.0,5.0,19.99
10832,Birthday Picnic,Play in the park and enjoy a fun birthday picnic!,DUPLO®,19,2.0,5.0,2,,,14.99
10849,My First Plane,Watch little builders take flight with My First Plane!,DUPLO®,10,1.5,3.0,2,,,4.99
42084,Hook Loader,Collect and transport heavy cargo with the Hook Loader!,Technic,176,7.0,14.0,1,2.0,4.5,14.99
60177,Airshow Jet,Wow the crowds in the sleek Airshow Jet!,City,87,5.0,12.0,1,2.0,4.5,9.99
10246,Detective’s Office,Discover hidden clues and surprises at the Detective's Office!,Creator Expert,2262,16.0,99.0,3,177.0,4.6,159.99
71040,The Disney Castle,Welcome to the magical Disney Castle!,Disney™,4080,16.0,99.0,3,171.0,4.7,349.99
7895,Switching Tracks,"Switch tracks – build a bigger, more exciting railway track.",City,8,5.0,12.0,0,47.0,4.1,15.99
41150,Moana’s Ocean Voyage,Set sail with Moana to restore the heart of Te Fiti!,Disney™,307,6.0,12.0,1,3.0,4.7,39.99
10597,Mickey & Minnie Birthday Parade,Celebrate your birthday with Mickey and Minnie!,DUPLO®,24,2.0,5.0,1,4.0,4.8,24.99
41592,The Hulk,Have a smashing time with LEGO® BrickHeadz The Hulk!,BrickHeadz,93,10.0,99.0,1,8.0,4.6,9.99
41314,Stephanie's House,Make cakes ready for a party at Stephanie’s House!,Friends,622,6.0,12.0,2,8.0,4.1,69.99
41191,Naida & the Water Turtle Ambush,Help Naida defend the Guardian Water Turtle from the shadow bat!,Elves,205,7.0,12.0,2,2.0,5.0,19.99
10707,Red Creativity Box,Unleash your imagination with the LEGO® Red Creativity Box!,Classic,55,4.0,99.0,2,4.0,4.5,4.99
41326,LEGO® Friends Advent Calendar,Count down to Christmas with LEGO® Friends!,Friends,217,5.0,12.0,1,18.0,2.6,29.99
45517,Transformer 10V DC,,MINDSTORMS®,1,8.0,99.0,0,2.0,4.0,29.99
41231,Harley Quinn™ to the rescue,Save the super hero café from the evil Kryptomites!,DC Super Hero Girls,217,7.0,12.0,2,2.0,5.0,29.99
10855,Cinderella´s Magical Castle,Dance with Cinderella and the Prince in the Magical Castle!,DUPLO®,56,2.0,5.0,2,,,34.99
10805,Around the World,Go Around the World on LEGO® DUPLO® adventures!,DUPLO®,163,2.0,5.0,1,8.0,5.0,99.99
70913,Scarecrow™ Fearful Face-off,Power into the sky to stop Scarecrow’s fear gas attacks!,THE LEGO® BATMAN MOVIE,141,6.0,12.0,1,7.0,4.1,14.99
41610,Tactical Batman™ & Superman™,Join the Justice League™ with LEGO® BrickHeadz™ Tactical Batman™ and Superman™!,BrickHeadz,209,10.0,99.0,2,,,19.99
70902,Catwoman™ Catcycle Chase,Stop Catwoman™ escaping with the diamonds!,THE LEGO® BATMAN MOVIE,139,7.0,14.0,1,27.0,4.5,19.99
60140,Bulldozer Break-in,Protect the bank and stop the crooks!,City,561,5.0,12.0,1,9.0,3.3,69.99
21122,The Nether Fortress,Battle the hostile mobs at The Nether Fortress!,Minecraft™,571,8.0,99.0,1,14.0,3.5,79.99
75181,Y-Wing Starfighter™,Collect the ultimate long-range Rebel starfighter!,Star Wars™,1966,14.0,99.0,4,1.0,5.0,199.99
40271,Easter Bunny,Hop to it with a LEGO® BrickHeadz™ Easter Bunny!,BrickHeadz,126,10.0,99.0,1,4.0,5.0,9.99
75933,T. rex Transport,Help Zia round up the T. rex and save the day!,T. rex Transport,609,7.0,12.0,2,,,69.99
41190,Emily Jones & the Eagle Getaway,Help Emily Jones find the lost diary page and outwit the shadow bat!,Elves,149,7.0,12.0,1,2.0,5.0,14.99
75192,Millennium Falcon™,Travel the LEGO® galaxy in the ultimate Millennium Falcon!,Star Wars™,7541,16.0,99.0,3,197.0,4.8,799.99
76080,Ayesha's Revenge,Team up to take on Ayesha and save the galaxy!,Marvel Super Heroes,323,7.0,14.0,2,12.0,4.8,29.99
10606,Doc McStuffins™ Backyard Clinic,Help toys feel better in Doc McStuffins™’ Backyard Clinic!,DUPLO®,39,2.0,5.0,2,,,29.99
10254,Winter Holiday Train,Climb aboard the magical Winter Holiday Train!,Creator Expert,734,12.0,99.0,2,77.0,4.3,99.99
75154,TIE Striker™,Join the battle against the rebels!,Star Wars™,543,8.0,14.0,2,39.0,4.6,69.99
60169,Cargo Terminal,Load up the truck and deliver the goods!,City,740,6.0,12.0,2,4.0,5.0,79.99
71349,Beetlejuice™ Fun Pack,It’s showtime! Bring Beetlejuice™ to life in the LEGO® DIMENSIONS™ multiverse for an eerie adventure!,DIMENSIONS™,56,7.0,14.0,1,1.0,5.0,14.99
75526,Elite TIE Fighter Pilot™,Fly into action with the Elite TIE Fighter Pilot!,Star Wars™,94,8.0,14.0,1,1.0,4.0,19.99
42052,Heavy Lift Helicopter,Airlift massive loads with the Heavy Lift Helicopter!,Technic,1043,10.0,16.0,3,19.0,4.3,139.99
72001,Lance's Hover Jouster,Wipe out the tech infection with Lance’s Hover Jouster!,NEXO KNIGHTS™,217,7.0,14.0,2,,,19.99
75126,First Order Snowspeeder™,Speed across distant planets in the micro First Order Snowspeeder™!,Star Wars™,91,6.0,12.0,1,11.0,4.5,9.99
70918,The Bat-Dune Buggy,Bring down Captain Boomerang™ with Batman’s Bat-Dune Buggy!,THE LEGO® BATMAN MOVIE,198,7.0,14.0,2,2.0,4.5,19.99
10572,LEGO® DUPLO® All-in-One-Box-of-Fun,"Learn to discover, build and count with the All-In-One Box of Fun!",DUPLO®,65,1.5,5.0,0,4.0,5.0,29.99
42076,Hovercraft,Transport supplies over land and sea with the all-terrain Hovercraft!,Technic,1020,9.0,16.0,2,5.0,4.2,89.99
75095,TIE Fighter™,Presenting the Ultimate Collector Series TIE Fighter – the iconic Imperial starfighter!,Star Wars™,1685,14.0,99.0,2,94.0,4.7,199.99
10247,Ferris Wheel,Experience the wonderful LEGO® Creator Ferris Wheel!,Creator Expert,2464,16.0,99.0,3,91.0,4.9,199.99
75532,Scout Trooper™ & Speeder Bike™,Set out on speeder bike missions with the Scout Trooper!,Star Wars™,452,10.0,14.0,3,11.0,4.5,54.99
70904,Clayface™ Splat Attack,Duel against the mighty Clayface™ with Batman™!,THE LEGO® BATMAN MOVIE,448,8.0,14.0,2,13.0,4.4,34.99
10249,Winter Toy Shop,Enjoy the holiday season with the Winter Toy Shop!,Creator Expert,898,12.0,99.0,2,142.0,3.8,83.5924
10844,Minnie Mouse Bow-tique,Build and run the store with Disney’s Minnie Mouse and Daisy Duck!,DUPLO®,70,2.0,5.0,2,,,39.99
41143,Berry's Kitchen,Make a cake for Berry’s tea party!,Disney™,61,5.0,12.0,2,,,5.99
10704,Creative Box,Imagine and create with LEGO® Classic bricks!,Classic,900,4.0,99.0,2,2.0,4.5,45.59240000000001
42073,BASH!,Get ready for high-speed action and impacts with the BASH!,Technic,139,7.0,14.0,1,2.0,4.0,19.99
60052,Cargo Train,Move heavy goods across LEGO® City with the Cargo Train!,City,888,6.0,12.0,2,35.0,4.4,199.99
10693,LEGO® Creative Supplement,"Get ideas, get creative and get building!",Classic,303,4.0,99.0,1,8.0,4.9,19.99
70634,Nya - Spinjitzu Master,"Build, rip and spin into action with Nya!",NINJAGO®,69,6.0,14.0,2,,,9.99
75102,Poe's X-Wing Fighter™,Go on daring missions with Poe's X-Wing Fighter™!,Star Wars™,717,8.0,14.0,2,71.0,4.7,79.99
41488,Master Wu,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,BrickHeadz,89,10.0,99.0,0,5.0,4.4,9.99
41145,Ariel and the Magical Spell,Explore the secrets of the sea with Ariel and Flounder.,Disney™,222,5.0,12.0,2,2.0,5.0,29.99
42037,Formula Off-Roader,Take on mountainous terrain with the LEGO® Technic Formula Off-Roader!,Technic,494,9.0,16.0,2,16.0,4.6,59.99
41185,Magic Rescue from the Goblin Village,Explore the secret Goblin Village without getting caught!,Elves,637,7.0,12.0,2,3.0,5.0,59.99
76067,Tanker Truck Takedown,Jump to the rescue and control the blaze with the Avengers and Spider-Man!,Marvel Super Heroes,330,6.0,12.0,1,14.0,4.8,29.99
75926,Pteranodon Chase,Chase the Pteranodon and rescue it from danger!,Pteranodon Chase,126,6.0,12.0,1,1.0,4.0,19.99
31056,Green Cruiser,Take an open-top drive in the cool 3-in-1 Green Cruiser!,Creator 3-in-1,122,6.0,12.0,1,6.0,4.5,9.99
76029,Iron Man vs. Ultron,Take down the Ultron jet with super-jumping Iron Man!,Marvel Super Heroes,92,6.0,12.0,0,25.0,4.5,12.99
21121,The Desert Outpost,Prepare for battle at The Desert Outpost!,Minecraft™,519,8.0,99.0,2,15.0,4.8,59.99
41142,Palace Pets Royal Castle,Host a grand ball for all the Palace Pets!,Disney™,186,5.0,12.0,0,1.0,5.0,19.99
10860,My First Race Car,Create racing role-play stories with the colorful car!,DUPLO®,6,1.5,3.0,2,,,4.99
60178,Speed Record Car,Climb in the cockpit and set a new speed record!,City,78,5.0,12.0,1,1.0,5.0,9.99
42074,Racing Yacht,Put the wind in your sails with this amazing Racing Yacht!,Technic,330,8.0,14.0,2,5.0,4.8,39.99
10687,Spider-Man™ Hideout,Protect the Spider-Man™ Hideout against an aerial assault from Green Goblin!,Juniors,137,4.0,7.0,0,5.0,4.2,29.99
21143,The Nether Portal,Board the minecart and journey through the Nether Portal!,Minecraft™,470,8.0,99.0,2,1.0,5.0,39.99
10749,Mia's Organic Food Market,Pick up some tasty organic goodies from Mia and Twister!,Juniors,115,4.0,7.0,2,,,19.99
60155,LEGO® City Advent Calendar,Celebrate 24 fun days with the LEGO® City Advent Calendar!,City,248,5.0,12.0,1,8.0,3.8,29.99
10840,Big Fair,Enjoy a day of family fun at LEGO® DUPLO® Big Fair!,DUPLO®,106,2.0,5.0,1,1.0,5.0,79.99
75528,Rey,Feel the Force with Rey!,Star Wars™,85,8.0,14.0,1,3.0,4.7,24.99
10801,Baby Animals,Look after baby animals from all around the world!,DUPLO®,13,2.0,5.0,1,4.0,5.0,9.99
41315,Heartlake Surf Shop,Get ready for a day of watersports action at the Surf Shop!,Friends,186,6.0,12.0,1,4.0,4.5,19.99
31063,Beachside Vacation,Enjoy the beach life with the 3-in-1 Beachside Vacation!,Creator 3-in-1,275,7.0,12.0,2,5.0,4.2,29.99
8293,LEGO® Power Functions Motor Set,Motorize your LEGO® Technic creations with the Power Functions Motor Set!,Power Functions,10,9.0,16.0,1,57.0,4.5,29.99
41587,Robin™,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,BrickHeadz,101,10.0,99.0,0,10.0,4.8,9.99
70313,Moltor’s Lava Smasher,Smash Aaron Fox out of the way and capture the Book of Chaos!,NEXO KNIGHTS™,187,8.0,14.0,2,3.0,4.7,19.99
75931,Dilophosaurus Outpost Attack,Defend the outpost from the terrifying Dilophosaurus!,Dilophosaurus Outpost Attack,289,7.0,12.0,1,1.0,4.0,39.99
10848,My First Bricks,Develop creativity and building skills with a selection of basic bricks!,DUPLO®,80,1.5,3.0,2,,,30.3924
70317,The Fortrex,Roll into action with the NEXO KNIGHTS™ 2-in-1 battle castle!,NEXO KNIGHTS™,1140,9.0,14.0,3,17.0,4.9,99.99
75148,Encounter on Jakku™,Stop the thief at Unkar Plutt's market stall!,Star Wars™,530,8.0,14.0,2,24.0,3.6,59.99
75060,Slave I,Lift off for bounty-hunting adventures in the Slave I!,Star Wars™,1996,14.0,99.0,3,201.0,4.8,199.99
10590,Airport,Head off on your holidays with the LEGO® DUPLO® Airport!,DUPLO®,29,2.0,5.0,1,3.0,5.0,19.99
60129,Police Patrol Boat,Keep the crook from escaping his boat ride to prison!,City,200,5.0,12.0,1,5.0,3.2,49.99
71264,THE LEGO® BATMAN MOVIE Story Pack,Fight crime with Batgirl™ and Robin™ in THE LEGO® BATMAN MOVIE!,DIMENSIONS™,156,7.0,14.0,1,2.0,4.5,44.99
31062,Robo Explorer,Have fun with the cute 3-in-1 Robo Explorer!,Creator 3-in-1,205,7.0,12.0,2,9.0,4.8,19.99
60182,Pickup & Caravan,"Load up the Pickup & Caravan, it’s time for a vacation!",City,344,5.0,12.0,1,7.0,5.0,29.99
31064,Island Adventures,Fly to warmer climes for 3-in-1 Island Adventures!,Creator 3-in-1,359,7.0,12.0,2,2.0,4.5,29.99
41605,Thanos,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,BrickHeadz,105,10.0,99.0,1,2.0,5.0,9.99
10823,Batwing Adventure,Help Batman™ use the Batwing to retrieve the stolen treasure back from The Penguin!,DUPLO®,28,2.0,5.0,2,3.0,4.3,29.99
21309,LEGO® NASA Apollo Saturn V,Build the first rocket to land people on the Moon!,Ideas,1969,14.0,99.0,3,367.0,4.9,119.99
75183,Darth Vader™ Transformation,Bring Darth Vader to life at the medical bay!,Star Wars™,282,7.0,12.0,1,38.0,4.7,24.99
70907,Killer Croc™ Tail-Gator,Speed after Killer Croc’s Tail-Gator on Batman’s Batski!,THE LEGO® BATMAN MOVIE,460,8.0,14.0,1,10.0,3.8,69.99
75525,Baze Malbus™,Blast the enemy with tough Baze Malbus!,Star Wars™,148,9.0,14.0,0,1.0,5.0,24.99
21032,Sydney,Celebrate Sydney with this LEGO® Architecture Skyline model!,Architecture,361,12.0,99.0,1,7.0,4.6,29.99
10817,LEGO® DUPLO® Creative Chest,Get creative with LEGO® DUPLO® throughout the year!,DUPLO®,70,1.5,5.0,2,,,29.99
75156,Krennic's Imperial Shuttle,Transport Director Krennic in his armor-plated shuttle!,Star Wars™,863,9.0,14.0,2,39.0,4.4,89.99
21028,New York City,Celebrate New York City with this LEGO® Architecture Skyline model!,Architecture,598,12.0,99.0,2,37.0,4.2,59.99
75160,U-Wing™ Microfighter,Enter miniature battle with the amazing U-Wing Microfighter!,Star Wars™,109,6.0,12.0,1,6.0,4.8,9.99
10713,Creative Suitcase,Bring along a world of creativity in your own LEGO® Creative Suitcase!,Classic,213,4.0,99.0,0,2.0,5.0,19.99
60136,Police Starter Set,Stop the crooks before they empty the ATM!,City,80,5.0,12.0,1,8.0,4.6,9.99
41134,Heartlake Performance School,"Learn to sing, dance and play with friends in Heartlake City!",Friends,774,7.0,12.0,1,5.0,2.8,79.99
75531,Stormtrooper™ Commander,Join the battle with the 2-in-1 Stormtrooper Commander!,Star Wars™,100,7.0,14.0,0,3.0,4.0,24.99
